company_name,business_address,phone_number,website_url,business_description,isp_type,service_coverage,geographic_scope,states_served,naics_code,industry_description,data_quality_score,confidence_score,source_attribution
Xfinity (Comcast),Multiple locations nationwide,(800) 934-6489,https://www.xfinity.com,"Cable internet, TV, and phone services nationwide",Cable,National,National,39 states + DC,517311,Internet Service Providers,0.95,95,national_isp_database
Spectrum (Charter Communications),Multiple locations nationwide,(855) 243-8892,https://www.spectrum.com,"Cable internet, TV, and phone services in 41 states",Cable,National,National,41 states,517311,Internet Service Providers,0.95,95,national_isp_database
AT&T Internet,Multiple locations nationwide,(800) 288-2020,https://www.att.com,"DSL, fiber, and wireless internet services nationwide",Fiber/DSL,National,National,50 states,517311,Internet Service Providers,0.95,95,national_isp_database
Verizon Fios,Northeast and Mid-Atlantic regions,(800) 837-4966,https://www.verizon.com/fios,"Fiber-optic internet, TV, and phone services",Fiber,Regional,Regional,9 states + DC,517311,Internet Service Providers,0.95,95,national_isp_database
CenturyLink (Lumen),Multiple locations nationwide,(866) 642-0444,https://www.centurylink.com,DSL and fiber internet services nationwide,DSL/Fiber,National,National,36 states,517311,Internet Service Providers,0.95,95,national_isp_database
Cox Communications,Multiple locations in 18 states,(844) 297-2142,https://www.cox.com,"Cable internet, TV, and phone services",Cable,Regional,Regional,18 states,517311,Internet Service Providers,0.95,95,national_isp_database
Optimum (Altice),Northeast and select markets,(866) 200-7273,https://www.optimum.com,"Cable internet, TV, and phone services",Cable,Regional,Regional,4 states,517311,Internet Service Providers,0.95,95,national_isp_database
Mediacom,Midwest and Southeast regions,(855) 633-4226,https://www.mediacomcable.com,"Cable internet, TV, and phone services in smaller markets",Cable,Regional,Regional,22 states,517311,Internet Service Providers,0.95,95,national_isp_database
Viasat,Satellite coverage nationwide,(855) 810-1308,https://www.viasat.com,Satellite internet services covering all 50 states,Satellite,National,National,50 states,517311,Internet Service Providers,0.95,95,national_isp_database
HughesNet,Satellite coverage nationwide,(866) 347-3292,https://www.hughesnet.com,Satellite internet services available nationwide,Satellite,National,National,50 states,517311,Internet Service Providers,0.95,95,national_isp_database
T-Mobile Home Internet,Wireless coverage nationwide,(844) 275-9310,https://www.t-mobile.com/home-internet,5G and 4G LTE home internet service,5G/Wireless,National,National,50 states,517311,Internet Service Providers,0.95,95,national_isp_database
Verizon 5G Home,Select markets nationwide,(800) 922-0204,https://www.verizon.com/5g/home,5G home internet service in select markets,5G/Wireless,Select Markets,National,30+ markets,517311,Internet Service Providers,0.95,95,national_isp_database
Google Fiber,Select metropolitan areas,(866) 777-7550,https://fiber.google.com,High-speed fiber internet in select cities,Fiber,Select Markets,Regional,18 markets,517311,Internet Service Providers,0.95,95,national_isp_database
Frontier Communications,Rural and suburban markets,(800) 921-8101,https://www.frontier.com,Fiber and DSL internet services in rural areas,Fiber/DSL,Regional,Regional,25 states,517311,Internet Service Providers,0.95,95,national_isp_database
